source,label
2,2
2,2
7,7
5,5
1,1
2,2
2,2
1,1
1,1
5,5
2,2
3,3
5,5
7,7
1,1
5,5
5,5
2,2
1,1
2,2
1,1
5,5
3,3
7,7
5,5
7,7
3,3
1,1
5,5
1,1
1,1
2,2
5,5
3,3
5,5
7,7
1,1
1,1
2,2
5,5
1,1
2,2
2,2
2,2
1,1
5,5
3,3
7,7
5,5
1,1
1,1
1,1
3,3
2,2
1,1
5,5
1,1
7,7
5,5
2,2
5,5
1,1
5,5
2,2
5,5
2,2
1,1
1,1
7,7
5,5
2,2
3,3
1,1
2,2
5,5
5,5
5,5
5,5
2,2
1,1
1,1
2,2
1,1
2,2
5,5
1,1
5,5
7,7
5,5
3,3
1,1
2,2
3,3
1,1
7,7
5,5
5,5
2,2
1,1
1,1
2,2
3,3
1,1
1,1
5,5
7,7
1,1
2,2
2,2
5,5
3,3
1,1
2,2
5,5
1,1
1,1
7,7
5,5
2,2
5,5
2,2
5,5
1,1
5,5
3,3
2,2
1,1
7,7
1,1
3,3
1,1
7,7
5,5
5,5
5,5
2,2
2,2
2,2
5,5
1,1
1,1
5,5
7,7
3,3
5,5
2,2
5,5
7,7
1,1
1,1
2,2
3,3
5,5
5,5
2,2
2,2
5,5
1,1
2,2
1,1
5,5
7,7
5,5
3,3
5,5
1,1
5,5
7,7
2,2
2,2
5,5
5,5
2,2
2,2
1,1
1,1
2,2
5,5
5,5
2,2
1,1
2,2
5,5
5,5
1,1
2,2
5,5
5,5
2,2
1,1
5,5
1,1
2,2
5,5
2,2
1,1
2,2
1,1
5,5
1,1
2,2
2,2
1,1
5,5
2,2
1,1
5,5
5,5
2,2
1,1
5,5
2,2
1,1
5,5
1,1
2,2
5,5
1,1
2,2
2,2
5,5
2,2
5,5
2,2
5,5
5,5
5,5
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
2,2
1,1
2,2
1,1
1,1
1,1
2,2
1,1
1,1
2,2
2,2
1,1
1,1
1,1
2,2
1,1
1,1
1,1
2,2
1,1
2,2
1,1
1,1
1,1
1,1
1,1
1,1
2,2
1,1
1,1
2,2
1,1
2,2
1,1
1,1
2,2
1,1
2,2
1,1
1,1
1,1
2,2
2,2
1,1
2,2
1,1
1,1
2,2
1,1
2,2
2,2
1,1
1,1
2,2
1,1
2,2
1,1
3,3
1,1
2,2
1,1
3,3
1,1
1,1
2,2
2,2
1,1
2,2
3,3
1,1
1,1
3,3
2,2
2,2
1,1
1,1
1,1
1,1
2,2
3,3
2,2
1,1
1,1
2,2
2,2
3,3
1,1
1,1
3,3
2,2
2,2
1,1
1,1
1,1
2,2
1,1
3,3
2,2
2,2
1,1
2,2
3,3
1,1
3,3
2,2
1,1
2,2
1,1
1,1
3,3
2,2
1,1
2,2
2,2
3,3
1,1
2,2
1,1
2,2
3,3
1,1
1,1
1,1
1,1
3,3
2,2
2,2
3,3
1,1
3,3
1,1
2,2
1,1
3,3
2,2
1,1
2,2
1,1
3,3
1,1
1,1
3,3
2,2
1,1
1,1
3,3
2,2
1,1
1,1
2,2
3,3
1,1
2,2
1,1
1,1
3,3
1,1
3,3
3,3
3,3
3,3
3,3
1,1
3,3
1,1
1,1
1,1
1,1
1,1
1,1
2,2
1,1
1,1
2,2
1,1
2,2
2,2
1,1
1,1
2,2
1,1
2,2
1,1
1,1
1,1
2,2
2,2
2,2
1,1
1,1
2,2
1,1
2,2
1,1
2,2
2,2
1,1
2,2
2,2
1,1
1,1
1,1
2,2
2,2
2,2
1,1
1,1
1,1
2,2
1,1
2,2
2,2
2,2
1,1
1,1
2,2
2,2
1,1
2,2
1,1
1,1
1,1
1,1
2,2
1,1
2,2
2,2
2,2
1,1
1,1
1,1
2,2
2,2
1,1
2,2
1,1
1,1
1,1
2,2
2,2
1,1
1,1
1,1
5,5
1,1
2,2
1,1
2,2
1,1
1,1
1,1
2,2
5,5
2,2
5,5
1,1
1,1
1,1
2,2
2,2
2,2
1,1
1,1
5,5
2,2
1,1
1,1
1,1
2,2
2,2
5,5
1,1
2,2
2,2
1,1
2,2
2,2
2,2
1,1
2,2
1,1
2,2
2,2
1,1
2,2
1,1
2,2
1,1
2,2
1,1
2,2
2,2
2,2
1,1
2,2
1,1
2,2
1,1
1,1
2,2
1,1
1,1
2,2
2,2
2,2
1,1
1,1
2,2
1,1
2,2
1,1
2,2
2,2
1,1
2,2
1,1
2,2
1,1
2,2
1,1
2,2
1,1
2,2
1,1
1,1
2,2
2,2
1,1
1,1
2,2
1,1
2,2
2,2
2,2
1,1
1,1
1,1
2,2
1,1
1,1
2,2
1,1
2,2
2,2
1,1
2,2
1,1
2,2
1,1
2,2
1,1
1,1
2,2
2,2
1,1
2,2
1,1
2,2
1,1
2,2
1,1
1,1
2,2
1,1
2,2
1,1
2,2
1,1
2,2
1,1
2,2
2,2
1,1
2,2
1,1
1,1
2,2
2,2
1,1
1,1
1,1
1,1
1,1
2,2
1,1
1,1
1,1
1,1
2,2
2,2
1,1
1,1
2,2
2,2
1,1
1,1
2,2
1,1
1,1
2,2
1,1
1,1
2,2
2,2
1,1
1,1
2,2
2,2
1,1
2,2
2,2
1,1
2,2
1,1
2,2
1,1
1,1
2,2
2,2
1,1
2,2
2,2
1,1
1,1
1,1
2,2
1,1
2,2
1,1
1,1
2,2
2,2
2,2
1,1
2,2
1,1
2,2
1,1
2,2
1,1
2,2
1,1
2,2
1,1
1,1
2,2
1,1
2,2
1,1
2,2
1,1
2,2
2,2
1,1
2,2
1,1
2,2
2,2
1,1
1,1
2,2
2,2
1,1
1,1
2,2
1,1
2,2
1,1
1,1
2,2
1,1
2,2
1,1
1,1
1,1
2,2
1,1
2,2
2,2
2,2
1,1
1,1
2,2
1,1
1,1
1,1
1,1
2,2
1,1
1,1
1,1
2,2
1,1
2,2
1,1
1,1
1,1
2,2
1,1
1,1
2,2
1,1
2,2
1,1
2,2
1,1
1,1
2,2
1,1
2,2
2,2
1,1
2,2
1,1
2,2
1,1
2,2
1,1
2,2
1,1
2,2
1,1
2,2
1,1
2,2
1,1
2,2
1,1
2,2
1,1
2,2
1,1
2,2
1,1
2,2
1,1
2,2
1,1
2,2
1,1
1,1
2,2
2,2
1,1
2,2
1,1
2,2
1,1
2,2
1,1
1,1
2,2
2,2
1,1
1,1
2,2
2,2
1,1
1,1
2,2
2,2
1,1
1,1
2,2
2,2
1,1
1,1
2,2
2,2
1,1
1,1
2,2
1,1
1,1
2,2
1,1
1,1
2,2
1,1
2,2
1,1
1,1
2,2
1,1
1,1
2,2
1,1
2,2
1,1
2,2
1,1
2,2
1,1
2,2
1,1
2,2
1,1
2,2
1,1
2,2
1,1
1,1
2,2
1,1
2,2
1,1
2,2
2,2
1,1
1,1
2,2
1,1
2,2
1,1
2,2
1,1
1,1
1,1
1,1
1,1
1,1
2,2
2,2
1,1
2,2
1,1
2,2
1,1
2,2
1,1
2,2
1,1
2,2
1,1
2,2
1,1
2,2
1,1
2,2
1,1
2,2
1,1
1,1
1,1
2,2
2,2
2,2
1,1
2,2
1,1
2,2
1,1
2,2
1,1
1,1
2,2
1,1
1,1
2,2
1,1
1,1
2,2
1,1
2,2
1,1
1,1
1,1
2,2
1,1
1,1
1,1
2,2
1,1
1,1
2,2
1,1
2,2
1,1
1,1
1,1
2,2
2,2
2,2
1,1
2,2
1,1
1,1
2,2
1,1
2,2
1,1
2,2
1,1
2,2
2,2
1,1
2,2
1,1
2,2
1,1
1,1
2,2
2,2
1,1
2,2
1,1
1,1
2,2
2,2
1,1
2,2
1,1
2,2
1,1
2,2
2,2
1,1
1,1
2,2
1,1
1,1
2,2
1,1
2,2
1,1
2,2
2,2
1,1
2,2
1,1
1,1
2,2
2,2
1,1
2,2
1,1
2,2
1,1
2,2
1,1
2,2
1,1
2,2
2,2
1,1
1,1
2,2
1,1
1,1
2,2
2,2
1,1
1,1
2,2
1,1
2,2
1,1
2,2
2,2
1,1
1,1
2,2
1,1
2,2
1,1
2,2
1,1
2,2
2,2
1,1
1,1
1,1
2,2
1,1
2,2
1,1
1,1
1,1
2,2
1,1
2,2
2,2
1,1
1,1
2,2
2,2
1,1
1,1
2,2
1,1
2,2
2,2
1,1
2,2
1,1
1,1
2,2
1,1
2,2
1,1
2,2
2,2
1,1
2,2
1,1
3,3
2,2
1,1
2,2
1,1
3,3
5,5
1,1
5,5
2,2
3,3
2,2
1,1
5,5
3,3
2,2
1,1
2,2
3,3
1,1
5,5
2,2
5,5
2,2
1,1
1,1
3,3
1,1
2,2
1,1
5,5
3,3
1,1
2,2
1,1
5,5
1,1
3,3
2,2
1,1
2,2
1,1
5,5
1,1
1,1
3,3
1,1
5,5
1,1
3,3
1,1
2,2
1,1
1,1
1,1
5,5
3,3
2,2
1,1
3,3
1,1
5,5
1,1
2,2
1,1
1,1
5,5
2,2
3,3
5,5
1,1
3,3
2,2
1,1
1,1
5,5
1,1
2,2
3,3
2,2
5,5
1,1
2,2
3,3
1,1
1,1
5,5
1,1
3,3
2,2
1,1
5,5
3,3
2,2
1,1
1,1
5,5
2,2
3,3
1,1
2,2
2,2
1,1
1,1
5,5
1,1
2,2
3,3
5,5
3,3
2,2
1,1
2,2
1,1
1,1
1,1
2,2
5,5
2,2
3,3
1,1
1,1
2,2
1,1
5,5
1,1
2,2
1,1
3,3
1,1
5,5
3,3
1,1
2,2
2,2
1,1
2,2
1,1
2,2
3,3
5,5
1,1
1,1
1,1
2,2
5,5
1,1
2,2
1,1
3,3
3,3
5,5
2,2
1,1
1,1
2,2
1,1
1,1
3,3
1,1
2,2
1,1
2,2
5,5
2,2
3,3
1,1
5,5
1,1
2,2
1,1
1,1
3,3
1,1
5,5
2,2
2,2
1,1
1,1
2,2
1,1
5,5
2,2
1,1
3,3
2,2
1,1
3,3
5,5
2,2
1,1
1,1
1,1
3,3
2,2
1,1
2,2
1,1
5,5
1,1
2,2
5,5
1,1
2,2
1,1
3,3
5,5
1,1
2,2
3,3
2,2
1,1
1,1
3,3
2,2
5,5
2,2
1,1
1,1
1,1
1,1
3,3
1,1
1,1
5,5
2,2
1,1
5,5
1,1
3,3
2,2
3,3
1,1
2,2
5,5
1,1
2,2
1,1
2,2
3,3
1,1
2,2
1,1
2,2
3,3
1,1
2,2
1,1
2,2
3,3
1,1
2,2
1,1
2,2
3,3
1,1
2,2
1,1
1,1
2,2
3,3
1,1
2,2
1,1
2,2
3,3
1,1
2,2
1,1
2,2
3,3
1,1
2,2
1,1
2,2
3,3
1,1
2,2
1,1
2,2
3,3
1,1
2,2
1,1
2,2
3,3
1,1
2,2
1,1
2,2
3,3
1,1
2,2
1,1
2,2
3,3
1,1
2,2
1,1
2,2
3,3
1,1
2,2
1,1
2,2
3,3
1,1
2,2
1,1
2,2
3,3
1,1
2,2
1,1
2,2
3,3
1,1
2,2
1,1
2,2
3,3
1,1
2,2
1,1
2,2
3,3
2,2
1,1
2,2
3,3
2,2
1,1
2,2
3,3
2,2
1,1
3,3
2,2
1,1
3,3
2,2
1,1
3,3
3,3
3,3
1,1
3,3
3,3
1,1
1,1
2,2
1,1
2,2
1,1
3,3
3,3
1,1
1,1
2,2
1,1
2,2
1,1
3,3
3,3
1,1
1,1
2,2
1,1
2,2
1,1
3,3
3,3
1,1
1,1
2,2
1,1
2,2
1,1
3,3
3,3
1,1
1,1
2,2
1,1
2,2
1,1
3,3
3,3
1,1
1,1
2,2
1,1
2,2
1,1
3,3
3,3
1,1
1,1
2,2
1,1
2,2
1,1
3,3
3,3
1,1
1,1
2,2
1,1
2,2
1,1
3,3
3,3
1,1
1,1
2,2
1,1
2,2
1,1
3,3
3,3
1,1
1,1
2,2
1,1
2,2
1,1
3,3
3,3
1,1
1,1
2,2
1,1
2,2
1,1
3,3
3,3
1,1
1,1
2,2
1,1
2,2
1,1
3,3
3,3
1,1
1,1
2,2
1,1
2,2
1,1
3,3
3,3
1,1
1,1
2,2
1,1
2,2
1,1
3,3
3,3
1,1
1,1
2,2
1,1
2,2
1,1
3,3
3,3
1,1
1,1
2,2
2,2
1,1
3,3
3,3
1,1
1,1
2,2
2,2
1,1
3,3
3,3
1,1
1,1
2,2
2,2
1,1
3,3
3,3
1,1
1,1
2,2
2,2
1,1
3,3
3,3
1,1
1,1
2,2
2,2
1,1
3,3
3,3
1,1
1,1
2,2
1,1
3,3
3,3
1,1
1,1
2,2
1,1
3,3
3,3
1,1
1,1
2,2
1,1
3,3
3,3
1,1
1,1
2,2
1,1
3,3
3,3
1,1
1,1
2,2
1,1
3,3
3,3
1,1
1,1
2,2
1,1
3,3
3,3
1,1
1,1
2,2
1,1
3,3
3,3
1,1
1,1
2,2
1,1
3,3
3,3
1,1
1,1
2,2
1,1
3,3
3,3
1,1
1,1
2,2
1,1
3,3
3,3
1,1
1,1
2,2
1,1
3,3
3,3
1,1
1,1
2,2
1,1
3,3
3,3
1,1
1,1
2,2
1,1
3,3
3,3
1,1
1,1
2,2
1,1
3,3
3,3
1,1
1,1
2,2
1,1
3,3
3,3
1,1
1,1
2,2
1,1
1,1
2,2
1,1
3,3
3,3
1,1
1,1
2,2
1,1
1,1
2,2
1,1
3,3
3,3
1,1
2,2
1,1
1,1
2,2
1,1
3,3
3,3
1,1
2,2
1,1
1,1
2,2
1,1
3,3
1,1
2,2
1,1
1,1
2,2
1,1
3,3
1,1
2,2
1,1
1,1
2,2
1,1
3,3
1,1
2,2
1,1
1,1
2,2
1,1
3,3
1,1
2,2
1,1
1,1
2,2
1,1
3,3
1,1
2,2
1,1
1,1
2,2
1,1
3,3
1,1
2,2
1,1
1,1
2,2
1,1
3,3
1,1
2,2
1,1
1,1
2,2
1,1
3,3
1,1
2,2
1,1
1,1
2,2
1,1
3,3
1,1
2,2
1,1
1,1
2,2
1,1
3,3
1,1
2,2
1,1
1,1
2,2
3,3
1,1
2,2
1,1
1,1
2,2
1,1
2,2
1,1
1,1
2,2
1,1
5,5
1,1
2,2
1,1
1,1
2,2
1,1
5,5
1,1
2,2
5,5
1,1
1,1
2,2
1,1
5,5
1,1
2,2
5,5
1,1
1,1
2,2
1,1
5,5
1,1
2,2
5,5
1,1
1,1
2,2
1,1
5,5
1,1
2,2
5,5
1,1
1,1
2,2
1,1
5,5
1,1
2,2
5,5
1,1
2,2
1,1
5,5
1,1
2,2
5,5
1,1
2,2
1,1
5,5
1,1
2,2
5,5
1,1
2,2
1,1
5,5
1,1
2,2
5,5
1,1
2,2
1,1
5,5
5,5
1,1
2,2
1,1
5,5
5,5
1,1
2,2
1,1
5,5
5,5
1,1
2,2
1,1
5,5
5,5
1,1
2,2
1,1
5,5
5,5
1,1
2,2
1,1
5,5
5,5
1,1
2,2
1,1
5,5
1,1
2,2
5,5
1,1
2,2
1,1
5,5
1,1
2,2
5,5
1,1
2,2
1,1
5,5
1,1
2,2
5,5
1,1
2,2
1,1
5,5
1,1
2,2
5,5
1,1
2,2
1,1
5,5
1,1
2,2
5,5
1,1
2,2
1,1
5,5
1,1
2,2
5,5
1,1
2,2
1,1
5,5
1,1
2,2
5,5
1,1
2,2
1,1
5,5
1,1
2,2
5,5
1,1
2,2
1,1
5,5
1,1
2,2
5,5
1,1
2,2
1,1
5,5
1,1
2,2
5,5
1,1
2,2
1,1
5,5
1,1
2,2
5,5
1,1
2,2
1,1
5,5
1,1
2,2
5,5
1,1
2,2
1,1
5,5
1,1
2,2
5,5
1,1
2,2
1,1
5,5
1,1
2,2
5,5
1,1
2,2
1,1
5,5
1,1
2,2
5,5
1,1
2,2
1,1
5,5
1,1
2,2
1,1
2,2
1,1
5,5
1,1
2,2
1,1
2,2
5,5
1,1
2,2
5,5
1,1
2,2
5,5
1,1
2,2
5,5
1,1
2,2
5,5
1,1
2,2
1,1
2,2
5,5
1,1
2,2
1,1
2,2
5,5
1,1
2,2
1,1
2,2
1,1
2,2
1,1
2,2
1,1
2,2
1,1
2,2
1,1
2,2
1,1
2,2
1,1
2,2
1,1
2,2
1,1
2,2
1,1
2,2
1,1
2,2
1,1
2,2
1,1
2,2
1,1
2,2
1,1
2,2
1,1
2,2
1,1
2,2
1,1
2,2
1,1
2,2
1,1
2,2
1,1
2,2
1,1
2,2
1,1
2,2
1,1
2,2
1,1
2,2
1,1
2,2
1,1
2,2
1,1
2,2
1,1
2,2
1,1
2,2
1,1
2,2
1,1
2,2
1,1
2,2
1,1
2,2
1,1
2,2
1,1
2,2
1,1
2,2
1,1
2,2
1,1
2,2
1,1
2,2
1,1
2,2
1,1
1,1
2,2
2,2
1,1
1,1
2,2
2,2
1,1
1,1
2,2
2,2
1,1
1,1
2,2
2,2
1,1
1,1
2,2
2,2
1,1
1,1
2,2
2,2
1,1
1,1
2,2
1,1
2,2
1,1
1,1
2,2
1,1
2,2
1,1
1,1
2,2
2,2
1,1
1,1
2,2
2,2
1,1
1,1
2,2
2,2
1,1
1,1
2,2
2,2
3,3
1,1
1,1
2,2
2,2
1,1
2,2
1,1
2,2
1,1
1,1
2,2
1,1
2,2
1,1
2,2
1,1
2,2
1,1
2,2
2,2
1,1
2,2
2,2
1,1
2,2
1,1
2,2
1,1
1,1
2,2
2,2
1,1
1,1
2,2
1,1
1,1
2,2
1,1
2,2
1,1
1,1
2,2
2,2
1,1
2,2
1,1
2,2
1,1
1,1
2,2
1,1
2,2
1,1
1,1
1,1
2,2
2,2
1,1
2,2
1,1
1,1
2,2
2,2
1,1
1,1
2,2
1,1
1,1
1,1
2,2
1,1
2,2
1,1
1,1
1,1
2,2
1,1
1,1
1,1
2,2
2,2
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
2,2
2,2
2,2
2,2
1,1
2,2
2,2
2,2
1,1
2,2
1,1
2,2
2,2
2,2
1,1
1,1
1,1
1,1
2,2
2,2
1,1
2,2
1,1
2,2
2,2
1,1
1,1
2,2
1,1
2,2
1,1
2,2
2,2
1,1
1,1
2,2
2,2
1,1
2,2
1,1
1,1
1,1
2,2
2,2
2,2
1,1
2,2
1,1
1,1
1,1
2,2
2,2
1,1
1,1
2,2
2,2
1,1
2,2
1,1
2,2
1,1
1,1
1,1
2,2
1,1
1,1
1,1
2,2
1,1
1,1
2,2
2,2
1,1
1,1
2,2
1,1
2,2
2,2
2,2
1,1
1,1
1,1
2,2
1,1
1,1
2,2
1,1
1,1
1,1
2,2
1,1
1,1
2,2
2,2
1,1
1,1
2,2
1,1
1,1
2,2
2,2
1,1
2,2
1,1
2,2
1,1
2,2
1,1
1,1
1,1
2,2
5,5
1,1
1,1
2,2
1,1
5,5
2,2
1,1
1,1
5,5
2,2
2,2
1,1
5,5
1,1
2,2
1,1
5,5
2,2
1,1
2,2
1,1
1,1
2,2
5,5
2,2
2,2
1,1
5,5
1,1
2,2
2,2
2,2
5,5
1,1
1,1
2,2
5,5
1,1
1,1
5,5
5,5
3,3
1,1
1,1
2,2
5,5
5,5
1,1
5,5
5,5
1,1
3,3
1,1
1,1
5,5
1,1
3,3
5,5
1,1
5,5
1,1
3,3
5,5
1,1
1,1
3,3
1,1
5,5
1,1
3,3
5,5
3,3
1,1
1,1
3,3
5,5
1,1
1,1
1,1
2,2
2,2
1,1
2,2
1,1
2,2
1,1
2,2
2,2
2,2
1,1
1,1
2,2
2,2
1,1
2,2
2,2
1,1
2,2
1,1
2,2
1,1
2,2
1,1
2,2
1,1
2,2
1,1
1,1
2,2
1,1
2,2
1,1
1,1
1,1
2,2
2,2
1,1
2,2
1,1
2,2
1,1
1,1
2,2
1,1
2,2
2,2
2,2
1,1
1,1
2,2
1,1
2,2
1,1
2,2
1,1
2,2
1,1
1,1
2,2
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
2,2
5,5
2,2
5,5
5,5
2,2
5,5
2,2
5,5
2,2
1,1
2,2
1,1
5,5
2,2
5,5
1,1
1,1
2,2
5,5
1,1
2,2
5,5
5,5
2,2
1,1
5,5
1,1
2,2
2,2
1,1
2,2
1,1
2,2
5,5
1,1
1,1
5,5
1,1
2,2
2,2
1,1
2,2
1,1
2,2
2,2
1,1
2,2
1,1
1,1
2,2
1,1
2,2
1,1
2,2
2,2
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
2,2
5,5
2,2
1,1
1,1
2,2
5,5
2,2
1,1
1,1
5,5
5,5
2,2
1,1
2,2
5,5
1,1
2,2
1,1
5,5
1,1
5,5
2,2
5,5
2,2
1,1
2,2
1,1
2,2
5,5
5,5
1,1
5,5
2,2
2,2
1,1
2,2
5,5
5,5
1,1
2,2
7,7
7,7
1,1
5,5
5,5
2,2
1,1
2,2
1,1
2,2
1,1
7,7
5,5
2,2
5,5
5,5
2,2
5,5
2,2
1,1
1,1
7,7
1,1
1,1
5,5
5,5
2,2
1,1
7,7
2,2
2,2
1,1
2,2
1,1
7,7
5,5
5,5
2,2
7,7
5,5
1,1
2,2
1,1
2,2
5,5
1,1
7,7
1,1
1,1
2,2
5,5
1,1
7,7
1,1
7,7
5,5
1,1
5,5
7,7
2,2
2,2
7,7
5,5
1,1
5,5
7,7
1,1
2,2
1,1
5,5
7,7
1,1
7,7
1,1
1,1
1,1
2,2
2,2
1,1
2,2
2,2
1,1
1,1
2,2
2,2
1,1
1,1
2,2
2,2
1,1
2,2
1,1
2,2
1,1
2,2
2,2
1,1
2,2
2,2
1,1
1,1
2,2
2,2
2,2
1,1
2,2
1,1
2,2
1,1
2,2
1,1
1,1
1,1
2,2
2,2
1,1
1,1
2,2
1,1
2,2
1,1
1,1
1,1
2,2
1,1
2,2
1,1
2,2
2,2
1,1
2,2
5,5
2,2
1,1
2,2
2,2
2,2
5,5
1,1
5,5
1,1
1,1
2,2
2,2
1,1
2,2
1,1
5,5
2,2
1,1
1,1
5,5
2,2
2,2
5,5
1,1
2,2
1,1
2,2
2,2
1,1
1,1
5,5
1,1
1,1
5,5
1,1
1,1
1,1
1,1
1,1
1,1
1,1
2,2
1,1
2,2
1,1
2,2
1,1
2,2
1,1
2,2
1,1
2,2
1,1
2,2
1,1
2,2
1,1
2,2
1,1
2,2
1,1
2,2
1,1
2,2
1,1
2,2
1,1
2,2
1,1
2,2
1,1
2,2
1,1
2,2
1,1
2,2
1,1
2,2
1,1
2,2
1,1
2,2
1,1
2,2
1,1
2,2
1,1
2,2
1,1
2,2
1,1
2,2
3,3
1,1
2,2
1,1
2,2
3,3
1,1
2,2
1,1
2,2
1,1
2,2
1,1
2,2
3,3
1,1
2,2
1,1
2,2
3,3
1,1
2,2
1,1
2,2
1,1
2,2
1,1
2,2
1,1
2,2
1,1
2,2
1,1
2,2
1,1
2,2
1,1
2,2
1,1
2,2
1,1
2,2
1,1
2,2
1,1
2,2
1,1
2,2
1,1
2,2
1,1
2,2
1,1
2,2
1,1
2,2
1,1
2,2
1,1
2,2
1,1
2,2
1,1
2,2
1,1
1,1
2,2
1,1
2,2
3,3
1,1
1,1
2,2
1,1
2,2
3,3
1,1
1,1
2,2
1,1
2,2
3,3
1,1
1,1
2,2
1,1
2,2
3,3
1,1
1,1
2,2
1,1
2,2
3,3
1,1
1,1
2,2
1,1
2,2
3,3
1,1
1,1
2,2
1,1
2,2
3,3
1,1
1,1
2,2
1,1
2,2
3,3
1,1
1,1
2,2
1,1
2,2
3,3
1,1
1,1
2,2
1,1
2,2
3,3
1,1
1,1
2,2
1,1
2,2
3,3
1,1
1,1
2,2
1,1
2,2
3,3
1,1
1,1
2,2
1,1
2,2
3,3
2,2
1,1
1,1
2,2
1,1
2,2
3,3
2,2
1,1
1,1
2,2
1,1
2,2
3,3
2,2
1,1
1,1
2,2
2,2
3,3
2,2
1,1
1,1
2,2
2,2
3,3
1,1
2,2
1,1
1,1
2,2
2,2
3,3
1,1
2,2
1,1
1,1
2,2
3,3
1,1
2,2
1,1
1,1
2,2
3,3
1,1
2,2
1,1
1,1
2,2
3,3
1,1
2,2
1,1
1,1
2,2
3,3
1,1
2,2
1,1
1,1
2,2
3,3
1,1
2,2
1,1
1,1
2,2
3,3
1,1
2,2
1,1
1,1
2,2
3,3
1,1
2,2
1,1
1,1
2,2
1,1
3,3
1,1
2,2
1,1
1,1
2,2
3,3
1,1
2,2
1,1
1,1
2,2
3,3
1,1
2,2
1,1
1,1
2,2
3,3
1,1
2,2
1,1
1,1
2,2
3,3
1,1
2,2
1,1
1,1
2,2
3,3
1,1
2,2
1,1
1,1
2,2
3,3
1,1
2,2
1,1
1,1
2,2
3,3
1,1
2,2
1,1
1,1
2,2
3,3
1,1
2,2
1,1
1,1
2,2
3,3
1,1
2,2
1,1
1,1
2,2
3,3
1,1
2,2
1,1
1,1
2,2
3,3
1,1
2,2
1,1
1,1
2,2
3,3
1,1
